Number	Genename	Locus	Count	Xenbase_ID
gene45168	LOC108714306	chr4L	108714306	
gene45169	hdac10.L	chr3L	734402	XB-GENE-5857328
gene45170	LOC108695877	chr7L	108695877	
gene45171	trnac-gca	chr9_10S	108703316	
gene45172	LOC108703455	Scaffold20	108703455	
gene45173	LOC108712399	chr3S	108712399	
gene45174	LOC108698359	chr8L	108698359	
gene45175	nup160.L	chr4L	432024	XB-GENE-979762
gene45176	LOC108718640	chr6L	108718640	
gene45177	LOC108695868	chr7L	108695868	
gene45178	LOC108719867	chr1L	108719867	
gene45179	LOC108697141	chr7S	108697141	
gene45180	LOC100126651	chr6S	100126651	
gene45181	itgb1.S	chr6S	399443	XB-GENE-6253896
gene45182	LOC108710406	chr3L	108710406	
gene45183	cdk16.L	chr8L	495331	XB-GENE-5856807
gene45184	snx11.L	chr9_10S	447299	XB-GENE-6254128
gene45185	LOC108700341	chr8S	108700341	
gene45186	LOC108699545	chr8L	108699545	
gene45187	LOC108713474	chr4L	108713474	
gene45188	LOC108713319	chr3S	108713319	
gene45189	LOC108717999	chr5S	108717999	
gene45190	LOC108712063	chr1L	108712063	
gene45191	LOC108713857	chr4L	108713857	
gene45192	LOC108704344	Scaffold31	108704344	
gene45193	LOC108698661	chr8L	108698661	
gene45194	LOC108708038	chr2L	108708038	
gene45195	sox2.L	Scaffold33547	398000	XB-GENE-865099
gene45196	LOC108713251	chr3S	108713251	
gene45197	LOC108708276	chr2L	108708276	
gene45198	LOC108698803	chr8L	108698803	
gene45199	LOC108718560	chr6L	108718560	
gene45200	LOC108716247	chr5L	108716247	
gene45201	LOC108714433	chr4L	108714433	
gene45202	seh1l.L	chr6L	734650	XB-GENE-1015667
gene45203	LOC108714430	chr4L	108714430	
gene45204	LOC108698412	chr8L	108698412	
gene45205	LOC108704458	Scaffold35	108704458	
gene45206	LOC108710260	chr3L	108710260	
gene45207	pla2g1b.L	chr4L	100037106	XB-GENE-6255271
gene45208	LOC108714049	chr4L	108714049	
gene45209	LOC108716428	chr5L	108716428	
gene45210	LOC108719658	chr6S	108719658	
gene45211	LOC108709216	chr2S	108709216	
gene45212	LOC108701967	chr9_10L	108701967	
gene45213	LOC108703272	chr9_10S	108703272	
gene45214	LOC108698238	chr1L	108698238	
gene45215	LOC108703347	Scaffold19	108703347	
gene45216	LOC108707102	chr1S	108707102	
gene45217	LOC108713628	chr4L	108713628	
gene45218	LOC108698863	chr8L	108698863	
gene45219	pcbp1.L	chr9_10L	100037147	XB-GENE-949150
gene45220	arl16.L	chr9_10L	100381024	XB-GENE-5885255
gene45221	LOC108709761	chr2S	108709761	
gene45222	LOC108706444	chr1S	108706444	
gene45223	LOC108716076	chr5L	108716076	
gene45224	LOC108718499	chr6L	108718499	
gene45225	LOC108712445	chr3S	108712445	
gene45226	LOC108716322	chr5L	108716322	
gene45227	LOC108703084	chr9_10S	108703084	
gene45228	LOC108710999	chr3L	108710999	
gene45229	LOC108695573	chr6S	108695573	
gene45230	LOC108718144	chr5S	108718144	
gene45231	LOC108713327	chr3S	108713327	
gene45232	LOC108712226	chr1L	108712226	
gene45233	LOC108716151	chr5L	108716151	
gene45234	LOC108698916	chr8L	108698916	
gene45235	LOC108700252	chr8S	108700252	
gene45236	LOC108719244	chr6L	108719244	
gene45237	LOC108696642	chr1L	108696642	
gene45238	jmjd7.L	chr8S	100036980	XB-GENE-1000706
gene45239	trnan-guu	chr3L	108712123	
gene45240	dpp3.S	chr4S	394413	XB-GENE-6254219
gene45241	LOC108715441	chr4S	108715441	
gene45242	LOC108715129	chr4S	108715129	
gene45243	LOC108706829	chr1S	108706829	
gene45244	LOC108711807	chr3L	108711807	
gene45245	LOC108703797	Scaffold22	108703797	
gene45246	LOC108706238	Scaffold43966	108706238	
gene45247	LOC108703481	Scaffold20	108703481	
gene45248	LOC108714533	chr4L	108714533	
gene45249	gas7.S	chr9_10L	100036791	XB-GENE-1012677
gene45250	LOC108706092	chr1S	108706092	
gene45251	LOC108716446	chr5L	108716446	
gene45252	LOC108717103	chr5L	108717103	
gene45253	LOC108701054	chr9_10L	108701054	
gene45254	LOC108704541	Scaffold38	108704541	
gene45255	LOC108710591	chr3L	108710591	
gene45256	trnaw-cca	Scaffold45438	108706244	
gene45257	LOC108710389	chr3L	108710389	
gene45258	LOC108699420	chr8L	108699420	
gene45259	LOC108705453	Scaffold111	108705453	
gene45260	LOC108699280	chr8L	108699280	
gene45261	LOC108698272	chr8L	108698272	
gene45262	tpsg1.L	chr9_10S	443716	XB-GENE-5893017
gene45263	LOC108704875	chr1S	108704875	
gene45264	igf2bp3.S	chr4L	379623	XB-GENE-6255198
gene45265	LOC108717353	chr1L	108717353	
gene45266	LOC108701959	chr9_10L	108701959	
gene45267	snapc5.S	chr3S	594874	XB-GENE-6251970
gene45268	nolc1.L	chr7L	397918	XB-GENE-6252171
gene45269	LOC108715338	chr4S	108715338	
gene45270	LOC108702188	chr9_10S	108702188	
gene45271	bmp1.S	chr3L	397872	XB-GENE-6252324
gene45272	LOC108710060	chr2S	108710060	
gene45273	LOC108708794	chr2L	108708794	
gene45274	LOC108713305	chr3S	108713305	
gene45275	LOC108702298	chr9_10S	108702298	
gene45276	LOC108700086	chr8S	108700086	
gene45277	LOC108711086	chr3L	108711086	
gene45278	LOC108710527	chr3L	108710527	
gene45279	LOC108698544	chr8L	108698544	
gene45280	LOC108716713	chr5L	108716713	
gene45281	wwc1.S	chr3S	398452	XB-GENE-985011
gene45282	srsf1.L	chr2L	399226	XB-GENE-486879
gene45283	chd7.L	chr6L	443577	XB-GENE-877237
gene45284	LOC108715891	chr4S	108715891	
gene45285	trnat-agu	chr3L	108712180	
gene45286	LOC108717701	chr5S	108717701	
gene45287	LOC108703864	Scaffold22	108703864	
gene45288	LOC108705884	Scaffold3375	108705884	
gene45289	dlx3.S	chr9_10S	394327	XB-GENE-6254455
gene45290	dynlrb1.S	chr9_10L	444706	XB-GENE-6254391
gene45291	LOC108700048	chr8S	108700048	
gene45292	LOC108717443	chr5S	108717443	
gene45293	LOC108710323	chr3L	108710323	
gene45294	LOC108716244	chr5L	108716244	
gene45295	LOC108709098	chr2S	108709098	
gene45296	LOC108719051	chr1L	108719051	
gene45297	LOC108700893	chr9_10L	108700893	
gene45298	trnastop-uca	chr4L	108714847	
gene45299	smc5.S	chr1S	398492	XB-GENE-953075
gene45300	LOC108704123	chr1S	108704123	
gene45301	LOC108713690	chr4L	108713690	
gene45302	LOC108705280	Scaffold87	108705280	
gene45303	LOC108704599	Scaffold41	108704599	
gene45304	LOC108718488	chr6L	108718488	
gene45305	LOC108695944	chr7L	108695944	
gene45306	trnae-uuc	Scaffold37581	108706203	
gene45307	LOC108709893	chr2S	108709893	
gene45308	LOC108700864	chr9_10L	108700864	
gene45309	gmfg.L	chr8S	414456	XB-GENE-6252847
gene45310	LOC108696299	chr7L	108696299	
gene45311	LOC108696695	chr7L	108696695	
gene45312	lrrn1.S	chr8L	735038	XB-GENE-6254508
gene45313	LOC108716392	chr5L	108716392	
gene45314	ppp1r36.L	chr8L	495952	XB-GENE-5959803
gene45315	LOC108710074	chr2S	108710074	
gene45316	napepld.S	chr3S	100137693	XB-GENE-962618
gene45317	LOC108696748	chr1L	108696748	
gene45318	trnar-ucu	chr9_10L	108702120	
gene45319	LOC108700741	chr9_10L	108700741	
gene45320	LOC108696778	chr7L	108696778	
gene45321	LOC108699504	chr8L	108699504	
gene45322	yap	chr2L	100653494	
gene45323	ND4	MT	2642077	
gene45324	LOC108706130	Scaffold23938	108706130	
gene45325	LOC108715258	chr4S	108715258	
gene45326	LOC108714198	chr4L	108714198	
gene45327	LOC108718891	chr6L	108718891	
gene45328	LOC108716264	chr5L	108716264	
gene45329	mecom.S	chr5S	100301954	XB-GENE-6448217
gene45330	cbx4.S	Scaffold86354	394294	XB-GENE-986722
gene45331	uhrf1.S	chr1S	432234	XB-GENE-5821540
gene45332	LOC108712709	chr3S	108712709	
gene45333	LOC446292	chr9_10L	446292	
gene45334	LOC108711387	chr3L	108711387	
gene45335	LOC108705395	Scaffold103	108705395	
gene45336	LOC108699029	chr8L	108699029	
gene45337	LOC108707752	chr2L	108707752	
gene45338	LOC108717653	chr5S	108717653	
gene45339	nphs1.S	chr7S	734213	XB-GENE-487815
gene45340	LOC108704809	chr1S	108704809	
gene45341	LOC108709820	chr2S	108709820	
gene45342	LOC108708454	chr2L	108708454	
gene45343	LOC108696442	chr1L	108696442	
gene45344	LOC108696339	chr1L	108696339	
gene45345	LOC108695733	chr7L	108695733	
gene45346	LOC108710774	chr3L	108710774	
gene45347	LOC108695404	chr6S	108695404	
gene45348	arpc4.S	chr4S	494639	XB-GENE-865976
gene45349	LOC108699008	chr8L	108699008	
gene45350	LOC108700106	chr8S	108700106	
gene45351	LOC108697472	chr7S	108697472	
gene45352	LOC108704285	Scaffold29	108704285	
gene45353	LOC108700221	chr8S	108700221	
gene45354	LOC108701759	chr9_10L	108701759	
gene45355	LOC108705855	Scaffold1834	108705855	
gene45356	LOC108709752	chr2S	108709752	
gene45357	LOC108697122	chr1L	108697122	
gene45358	LOC108702375	chr9_10S	108702375	
gene45359	trnat-cgu	chr3L	108711969	
gene45360	trnak-cuu	chr3L	108711860	
gene45361	LOC108712827	chr3S	108712827	
gene45362	LOC108709025	chr2S	108709025	
gene45363	ada.S	chr9_10S	444167	XB-GENE-950506
gene45364	LOC108713800	chr4L	108713800	
gene45365	LOC108703764	Scaffold22	108703764	
gene45366	LOC108695540	chr6S	108695540	
gene45367	LOC108719263	chr6L	108719263	
gene45368	LOC108710496	chr3L	108710496	
gene45369	LOC100126603	chr8L	100126603	
gene45370	efcab7.L	chr4L	447043	XB-GENE-5749177
gene45371	LOC108707794	chr2L	108707794	
gene45372	LOC108706280	Scaffold54476	108706280	
gene45373	LOC108702663	chr9_10S	108702663	
gene45374	slc1a3.L	chr1L	398856	XB-GENE-975317
gene45375	LOC108711337	chr3L	108711337	
gene45376	LOC496175	chr6L	496175	
gene45377	LOC108697215	chr7S	108697215	
gene45378	LOC108707837	chr2L	108707837	
gene45379	commd3.L	chr6L	496166	XB-GENE-942206
gene45380	LOC108704441	Scaffold34	108704441	
gene45381	LOC108703129	chr9_10S	108703129	
gene45382	MGC68448	chr3S	398753	
gene45383	LOC108716294	chr5L	108716294	
gene45384	LOC108699035	chr8L	108699035	
gene45385	kansl3.L	chr3L	414483	XB-GENE-6054104
gene45386	pou2f1.S	Scaffold40	399316	XB-GENE-853997
gene45387	LOC108710924	chr3L	108710924	
gene45388	LOC108701676	chr9_10L	108701676	
gene45389	LOC108710013	chr2S	108710013	
gene45390	LOC108699930	chr8S	108699930	
gene45391	LOC108698226	chr8L	108698226	
gene45392	trnas-cga	Scaffold20	108703628	
gene45393	LOC108701988	chr9_10L	108701988	
gene45394	LOC108716165	chr5L	108716165	
gene45395	LOC108707885	chr2L	108707885	
gene45396	nsun6.L	chr6L	779206	XB-GENE-947962
gene45397	LOC108704814	Scaffold51	108704814	
gene45398	LOC108696429	chr7L	108696429	
gene45399	LOC108718003	chr5S	108718003	
gene45400	LOC108696643	chr7L	108696643	
gene45401	astl.L	chr4L	100101287	XB-GENE-5769457
gene45402	trnas-aga	chr9_10S	108703319	
gene45403	trnae-uuc	chr8S	108700697	
gene45404	LOC108705995	Scaffold8432	108705995	
gene45405	LOC108715526	chr4S	108715526	
gene45406	LOC108710825	chr3L	108710825	
gene45407	mylpf.S	chr9_10S	399251	XB-GENE-969369
gene45408	LOC101027285	chr5L	101027285	
gene45409	LOC108719072	chr6L	108719072	
gene45410	LOC108704528	Scaffold37	108704528	
gene45411	nppa.L	chr7S	779298	XB-GENE-865042
gene45412	LOC779604.L	chr7L	734737	XB-GENE-5831635
gene45413	LOC108715595	chr4S	108715595	
gene45414	LOC108699284	chr1L	108699284	
gene45415	LOC108699220	chr8L	108699220	
gene45416	LOC108719947	chr1L	108719947	
gene45417	trappc9.L	chr6L	398878	XB-GENE-5844501
gene45418	ap2a2.L	chr4L	734352	XB-GENE-865570
gene45419	ndufa4.L	Scaffold107097	494634	XB-GENE-6255621
gene45420	LOC445857	chr3S	445857	
gene45421	dmbt1.S	chr5S	100137684	XB-GENE-6256104
gene45422	LOC108718897	chr6L	108718897	
gene45423	LOC108710719	chr3L	108710719	
gene45424	LOC108696500	chr7L	108696500	
gene45425	LOC108703712	Scaffold21	108703712	
gene45426	rab27a.S	chr3S	494641	XB-GENE-6255619
gene45427	LOC108703930	Scaffold22	108703930	
gene45428	LOC108696137	chr7L	108696137	
gene45429	LOC108714409	chr4L	108714409	
gene45430	LOC108704762	Scaffold48	108704762	
gene45431	LOC108698227	chr8L	108698227	
gene45432	LOC108698707	chr8L	108698707	
gene45433	porcn.L	chr8L	397828	XB-GENE-921352
gene45434	trnai-uau	Scaffold79	108705183	
gene45435	trnar-ccu	chr7L	108697085	
gene45436	LOC495277	chr8S	495277	
gene45437	LOC108706094	Scaffold17986	108706094	
gene45438	LOC108713538	chr4L	108713538	
gene45439	LOC108712348	chr3S	108712348	
gene45440	shh.L	chr6L	398047	XB-GENE-864913
gene45441	trnas-cga	Scaffold20	108703675	
gene45442	LOC108699996	chr8S	108699996	
gene45443	trnas-cga	Scaffold20	108703656	
gene45444	hps3.L	chr5L	398456	XB-GENE-866533
gene45445	LOC108716058	chr1L	108716058	
gene45446	LOC108701940	chr9_10L	108701940	
gene45447	LOC108704450	chr1S	108704450	
gene45448	LOC108710296	chr3L	108710296	
gene45449	ccnk.L	chr8L	734423	XB-GENE-865206
gene45450	trnap-ugg	chr3S	108713361	
gene45451	LOC100158340	chr4S	100158340	
gene45452	LOC108716461	chr5L	108716461	
gene45453	btbd2.S	chr1S	779046	XB-GENE-866104
gene45454	LOC108713968	chr4L	108713968	
gene45455	trnal-aag	Scaffold20	108703605	
gene45456	myh3.S	chr8S	378671	XB-GENE-6252374
gene45457	LOC108715155	chr4S	108715155	
gene45458	LOC108715489	chr4S	108715489	
gene45459	LOC108711012	chr3L	108711012	
gene45460	LOC108717995	chr5S	108717995	
gene45461	LOC108707565	chr2L	108707565	
gene45462	LOC108697559	chr7S	108697559	
gene45463	cs.L	chr2L	379886	XB-GENE-943167
gene45464	LOC108705102	Scaffold74	108705102	
gene45465	trnas-uga	chr3L	108711920	
gene45466	LOC108715883	chr4S	108715883	
gene45467	LOC108706547	chr1S	108706547	
gene45468	LOC108702256	chr9_10S	108702256	
gene45469	bnipl.L	chr8L	446429	XB-GENE-6256229
gene45470	dab2.L	chr1L	398789	XB-GENE-992289
gene45471	arl5c.L	chr9_10S	446243	XB-GENE-5898216
gene45472	LOC108696958	chr7L	108696958	
gene45473	trnak-cuu	Scaffold4452	108705928	
gene45474	rnf111-b	Scaffold1346	779113	
gene45475	LOC108696836	chr7L	108696836	
gene45476	LOC108717524	chr5S	108717524	
gene45477	LOC108707808	chr2L	108707808	
gene45478	LOC108713835	chr4L	108713835	
gene45479	trnag-gcc	chr9_10L	108702105	
gene45480	trnai-uau	chr4L	108714810	
gene45481	LOC108704386	chr1S	108704386	
gene45482	gcn1.L	chr1L	100125671	XB-GENE-5926275
gene45483	LOC108719591	chr1L	108719591	
gene45484	LOC108703444	Scaffold20	108703444	
gene45485	LOC108719661	chr6S	108719661	
gene45486	kdm3a.L	chr1L	432112	XB-GENE-6256006
gene45487	LOC108718920	chr6L	108718920	
gene45488	LOC108707194	chr1S	108707194	
gene45489	LOC108711774	chr3L	108711774	
gene45490	LOC108711825	chr3L	108711825	
gene45491	LOC108696811	chr7L	108696811	
gene45492	LOC108696979	chr7L	108696979	
gene45493	LOC108700911	chr9_10L	108700911	
gene45494	LOC108696112	chr1L	108696112	
gene45495	LOC108703790	Scaffold22	108703790	
gene45496	LOC108705809	Scaffold1237	108705809	
gene45497	LOC108708724	chr2L	108708724	
gene45498	trnad-guc	chr1S	108707370	
gene45499	LOC108710474	chr1L	108710474	
gene45500	LOC108718027	chr5S	108718027	
gene45501	LOC108706999	chr1S	108706999	
gene45502	zdhhc1.L	chr4L	734857	XB-GENE-6255003
gene45503	csnk1a1	chr3S	380238	
gene45504	LOC108695857	chr7L	108695857	
gene45505	LOC108696675	chr1L	108696675	
gene45506	LOC108701415	chr9_10L	108701415	
gene45507	LOC108718597	chr6L	108718597	
gene45508	LOC108705561	Scaffold166	108705561	
gene45509	tp53rk.L	Scaffold20587	734558	XB-GENE-864855
gene45510	LOC108714113	chr4L	108714113	
gene45511	LOC108714935	chr4S	108714935	
gene45512	LOC108714505	chr4L	108714505	
gene45513	LOC108708471	chr2L	108708471	
gene45514	LOC108695544	chr6S	108695544	
gene45515	btn2a1.L	chr6S	494662	XB-GENE-6255609
gene45516	taf2.S	chr6S	446230	XB-GENE-968257
gene45517	LOC108711220	chr3L	108711220	
gene45518	LOC101243552	chr3L	101243552	
gene45519	LOC108701156	chr9_10L	108701156	
gene45520	MGC82392	chr9_10L	446625	
gene45521	LOC108696017	chr7L	108696017	
gene45522	cinp.S	chr8S	444599	XB-GENE-954231
gene45523	LOC108718644	chr6L	108718644	
gene45524	prkacb.S	chr4S	380388	XB-GENE-482706
gene45525	LOC108707584	chr2L	108707584	
gene45526	evl	chr8S	779377	
gene45527	LOC108706446	chr1S	108706446	
gene45528	LOC108718448	chr1L	108718448	
gene45529	LOC108701240	chr9_10L	108701240	
gene45530	LOC108714106	chr4L	108714106	
gene45531	LOC108716271	chr5L	108716271	
gene45532	LOC108700411	chr8S	108700411	
gene45533	LOC108698755	chr1L	108698755	
gene45534	LOC108698923	chr8L	108698923	
gene45535	LOC108703948	chr1S	108703948	
gene45536	dram1.S	chr3L	431986	XB-GENE-6251542
gene45537	LOC108704388	Scaffold32	108704388	
gene45538	LOC108703706	Scaffold21	108703706	
gene45539	LOC108707967	chr2L	108707967	
gene45540	LOC108699169	chr8L	108699169	
gene45541	trnag-gcc	chr4L	108714747	
gene45542	LOC108718887	chr6L	108718887	
gene45543	LOC108706204	Scaffold37799	108706204	
gene45544	LOC108718511	chr6L	108718511	
gene45545	LOC108716420	chr5L	108716420	
gene45546	LOC108705791	Scaffold1037	108705791	
gene45547	LOC108715607	chr4S	108715607	
gene45548	trnac-gca	Scaffold94444	108706405	
gene45549	tpst1.L	chr2L	444016	XB-GENE-953312
gene45550	LOC108702543	chr9_10S	108702543	
gene45551	LOC108695965	chr7L	108695965	
gene45552	LOC108712951	chr3S	108712951	
gene45553	LOC108709417	chr2S	108709417	
gene45554	LOC108703382	Scaffold19	108703382	
gene45555	LOC108718206	chr5S	108718206	
gene45556	LOC108707811	chr2L	108707811	
gene45557	rassf7.L	chr4L	446465	XB-GENE-956646
gene45558	LOC108709047	chr2S	108709047	
gene45559	LOC108719039	chr6L	108719039	
gene45560	trnak-uuu	Scaffold46	108704720	
gene45561	LOC108696378	chr1L	108696378	
gene45562	LOC108702215	chr9_10S	108702215	
gene45563	gin1.L	chr1L	444317	XB-GENE-6255401
gene45564	LOC108713439	chr4L	108713439	
gene45565	slc18a2.L	chr3L	379730	XB-GENE-6254956
gene45566	LOC108711415	chr3L	108711415	
gene45567	LOC108701379	chr9_10L	108701379	
gene45568	LOC108698893	chr8L	108698893	
gene45569	LOC108716812	chr5L	108716812	
gene45570	LOC108715003	chr4S	108715003	
gene45571	LOC108707998	chr2L	108707998	
gene45572	LOC108699576	chr8L	108699576	
gene45573	LOC108710033	chr2S	108710033	
gene45574	LOC108716885	chr5L	108716885	
gene45575	LOC108704162	chr1S	108704162	
gene45576	LOC108709430	chr2S	108709430	
gene45577	LOC108717218	chr5L	108717218	
gene45578	LOC108705667	Scaffold322	108705667	
gene45579	LOC108704380	Scaffold31	108704380	
gene45580	LOC108700516	chr8S	108700516	
gene45581	LOC108719362	chr6L	108719362	
gene45582	trnar-acg	Scaffold11376	108706036	
gene45583	trnak-cuu	chr3L	108711939	
gene45584	slc38a2.L	chr3L	446910	XB-GENE-6254869
gene45585	LOC108706049	Scaffold12139	108706049	
gene45586	LOC108701681	chr9_10L	108701681	
gene45587	LOC108717371	chr5S	108717371	
gene45588	LOC108706317	Scaffold63521	108706317	
gene45589	LOC495841	chr1S	495841	
gene45590	LOC108699796	chr8S	108699796	
gene45591	LOC108711293	chr3L	108711293	
gene45592	LOC108697926	chr7S	108697926	
gene45593	pola1.S	Scaffold430	398200	XB-GENE-1000552
gene45594	LOC101027288	chr7S	101027288	
gene45595	ilk.S	chr2S	446640	XB-GENE-1014175
gene45596	trnad-guc	chr1L	108699687	
gene45597	LOC108711300	chr3L	108711300	
gene45598	trnat-agu	chr4S	108715968	
gene45599	trnay-gua	chr5S	108718383	
gene45600	LOC108718355	chr1L	108718355	
gene45601	LOC100462904	chr1S	100462904	
gene45602	trnae-uuc	chr5S	108718382	
gene45603	LOC108718461	chr6L	108718461	
gene45604	LOC108705686	Scaffold347	108705686	
gene45605	MGC84589	chr3S	432027	
gene45606	LOC108709242	chr2S	108709242	
gene45607	LOC108713808	chr4L	108713808	
gene45608	LOC108698705	chr8L	108698705	
gene45609	LOC108719124	chr1L	108719124	
gene45610	LOC108710807	chr3L	108710807	
gene45611	LOC108717430	chr5S	108717430	
gene45612	LOC108702208	chr9_10S	108702208	
gene45613	LOC108700788	chr9_10L	108700788	
gene45614	LOC108701392	chr9_10L	108701392	
gene45615	LOC108697703	chr7S	108697703	
gene45616	LOC108706618	chr1S	108706618	
gene45617	LOC108698037	chr1L	108698037	
gene45618	LOC108696761	chr7L	108696761	
gene45619	LOC108696547	chr7L	108696547	
gene45620	LOC108719668	chr6S	108719668	
gene45621	LOC108710075	chr2S	108710075	
gene45622	snx1.L	chr3L	431880	XB-GENE-992262
gene45623	cd44.S	chr4L	443701	XB-GENE-6251905
gene45624	LOC108716824	chr5L	108716824	
gene45625	asph.L	chr6L	100137711	XB-GENE-6255831
gene45626	trnal-uag	Scaffold3791	108705904	
gene45627	trnac-gca	chr9_10L	108702111	
gene45628	LOC108712419	chr3S	108712419	
gene45629	LOC108710871	chr3L	108710871	
gene45630	trnag-gcc	Scaffold1103	108705798	
gene45631	trnas-cga	chr2L	108708837	
gene45632	LOC108708613	chr2L	108708613	
gene45633	LOC108713904	chr4L	108713904	
gene45634	LOC108711715	chr3L	108711715	
gene45635	LOC108702399	chr9_10S	108702399	
gene45636	LOC108702379	chr9_10S	108702379	
gene45637	LOC108719750	chr6S	108719750	
gene45638	trnar-ucg	chr8S	108700734	
gene45639	LOC108700663	chr8S	108700663	
gene45640	LOC108717512	chr5S	108717512	
gene45641	LOC108697170	chr7S	108697170	
gene45642	LOC108704521	chr1S	108704521	
gene45643	LOC108700280	chr8S	108700280	
gene45644	LOC108704735	Scaffold47	108704735	
gene45645	trnag-ccc	chr4L	108714771	
gene45646	atp6v1b1.L	chr1L	779272	XB-GENE-865560
gene45647	LOC108698926	chr8L	108698926	
gene45648	LOC108701579	chr9_10L	108701579	
gene45649	LOC108704093	chr1S	108704093	
gene45650	foxp1.S	chr4S	496386	XB-GENE-961750
gene45651	LOC108696502	chr7L	108696502	
gene45652	LOC108697038	chr7L	108697038	
gene45653	atr.L	chr5L	398197	XB-GENE-1012725
gene45654	LOC108712868	chr1L	108712868	
gene45655	LOC108717740	chr5S	108717740	
gene45656	smg1.L	chr9_10L	779188	XB-GENE-6252967
gene45657	LOC108706260	Scaffold50506	108706260	
gene45658	pstpip2.L	chr1S	446605	XB-GENE-6255676
gene45659	LOC108701986	chr9_10L	108701986	
gene45660	wnt2b.L	chr2L	378566	XB-GENE-960151
gene45661	LOC108716256	chr5L	108716256	
gene45662	LOC108695241	chr6S	108695241	
gene45663	LOC108701794	chr9_10L	108701794	
gene45664	LOC108701066	chr9_10L	108701066	
gene45665	LOC108704229	chr1S	108704229	
gene45666	LOC108710019	chr2S	108710019	
gene45667	trnas-gcu	chr3L	108712135	
gene45668	LOC108700155	chr8S	108700155	
gene45669	LOC108703271	chr9_10S	108703271	
gene45670	LOC108710681	chr3L	108710681	
gene45671	mtdh.S	chr6S	446286	XB-GENE-6251695
gene45672	cct5.S	Scaffold59	380145	XB-GENE-980281
gene45673	LOC108709300	chr2S	108709300	
gene45674	LOC108719406	chr6L	108719406	
gene45675	LOC108714939	chr4S	108714939	
gene45676	LOC108706277	chr1S	108706277	
gene45677	LOC108709640	chr2S	108709640	
gene45678	LOC108716299	chr5L	108716299	
gene45679	lrp5.L	Scaffold36949	373722	XB-GENE-864864
gene45680	LOC108713582	chr4L	108713582	
gene45681	LOC108697980	chr7S	108697980	
gene45682	pdpk1.L	chr9_10L	444529	XB-GENE-6254890
gene45683	trnaa-ugc	chr1L	108699682	
gene45684	LOC108700536	chr8S	108700536	
gene45685	LOC108698529	chr8L	108698529	
gene45686	MGC83148	chr8S	443802	
gene45687	MGC68680	chr2L	398782	
gene45688	LOC108719771	chr6S	108719771	
gene45689	trnar-ucg	chr3L	108711975	
gene45690	LOC108717550	chr5S	108717550	
gene45691	LOC108713999	chr4L	108713999	
gene45692	LOC108698603	chr8L	108698603	
gene45693	LOC108701831	chr9_10L	108701831	
gene45694	LOC108700590	chr8S	108700590	
gene45695	LOC108695864	chr7L	108695864	
gene45696	arid3b.L	chr3L	733349	XB-GENE-1018458
gene45697	LOC108719234	chr6L	108719234	
gene45698	LOC108707899	chr2L	108707899	
gene45699	LOC108703779	Scaffold22	108703779	
gene45700	LOC108705594	Scaffold192	108705594	
gene45701	cdc25a.L	chr6S	734734	XB-GENE-5809427
gene45702	LOC108695697	chr7L	108695697	
gene45703	LOC108710324	chr3L	108710324	
gene45704	ppih.L	chr7L	735122	XB-GENE-6254286
gene45705	LOC108718290	chr5S	108718290	
gene45706	LOC108701120	chr9_10L	108701120	
gene45707	LOC108711478	chr3L	108711478	
gene45708	LOC108696422	chr7L	108696422	
gene45709	wsb2.L	chr1L	779163	XB-GENE-991098
gene45710	LOC108713642	chr4L	108713642	
gene45711	LOC108720018	chr6S	108720018	
gene45712	LOC108712491	chr3S	108712491	
gene45713	rassf1.L	chr4L	100036863	XB-GENE-866377
gene45714	LOC108709591	chr2S	108709591	
gene45715	LOC108700617	chr8S	108700617	
gene45716	LOC108708907	chr2S	108708907	
gene45717	ppfibp2.L	chr3L	447007	XB-GENE-6254584
gene45718	LOC108719008	chr6L	108719008	
gene45719	LOC108704509	Scaffold37	108704509	
gene45720	ilf2.L	chr8L	380267	XB-GENE-876487
gene45721	LOC108708256	chr2L	108708256	
gene45722	akirin2.S	chr5S	443910	XB-GENE-951500
gene45723	trnad-guc	chr4L	108714784	
gene45724	trnaw-cca	chr4L	108714770	
gene45725	LOC108703503	Scaffold20	108703503	
gene45726	slc30a5.L	chr1L	100126632	XB-GENE-962728
gene45727	LOC108696474	chr7L	108696474	
gene45728	LOC108699017	chr8L	108699017	
gene45729	LOC108713560	chr4L	108713560	
gene45730	LOC108709355	chr2S	108709355	
gene45731	LOC108713508	chr4L	108713508	
gene45732	rtf1.L	chr8L	100381117	XB-GENE-993334
gene45733	LOC108720034	chr6S	108720034	
gene45734	LOC108710399	chr3L	108710399	
gene45735	LOC108700809	chr9_10L	108700809	
gene45736	LOC108709802	chr2S	108709802	
gene45737	LOC108707391	chr2L	108707391	
gene45738	LOC108716786	chr1L	108716786	
gene45739	LOC108703386	Scaffold19	108703386	
gene45740	LOC108710044	chr2S	108710044	
gene45741	LOC108696479	chr7L	108696479	
gene45742	LOC108714868	chr1L	108714868	
gene45743	LOC108701798	chr9_10L	108701798	
gene45744	LOC108699624	chr8L	108699624	
gene45745	LOC108703571	Scaffold20	108703571	
gene45746	LOC108705974	Scaffold6924	108705974	
gene45747	LOC108704978	Scaffold65	108704978	
gene45748	LOC108697292	chr7S	108697292	
gene45749	LOC108699225	chr8L	108699225	
gene45750	LOC108695800	chr7L	108695800	
